,actor,critic,policy,reward
91,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.6}",
92,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.0}",
93,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.9}",
94,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}",
95,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.3}",
96,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.4}",
97,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.0}",
98,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.0}",
99,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.8}",
100,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.6}",
101,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.6}",
102,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.7}",
103,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.9}",
104,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
105,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.4}",
106,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.9}",
107,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}",
108,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.4}",
109,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.0}",
110,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.6}",
111,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.4}",
112,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.5}",
113,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.3}",
114,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.7}",
115,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.4}",
116,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.6}",
117,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}",
118,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.7}",
119,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.8}",
